having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,URL_of_Anchor,Links_in_tags,SFH,Abnormal_URL,has_political_keyword,label,threat_actor
-1,0,-1,-1,-1,1,0,1,0,-1,0,-1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,1,1,1,0,0,0,0,-1,-1,1,State-Sponsored
1,1,-1,1,1,-1,1,0,-1,-1,1,1,-1,1,Organized Cybercrime
1,1,1,1,-1,1,1,-1,-1,1,0,-1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,1,-1,1,1,-1,1,-1,-1,0,Benign
-1,1,-1,-1,-1,1,1,1,-1,0,0,-1,-1,1,State-Sponsored
-1,-1,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,0,Benign
-1,0,1,-1,1,-1,1,1,0,-1,-1,1,1,1,Hacktivist
1,0,1,1,1,1,0,-1,0,1,0,1,-1,1,Organized Cybercrime
-1,1,1,-1,-1,1,1,0,-1,-1,-1,1,1,1,Hacktivist
1,1,-1,-1,-1,1,1,1,0,0,0,-1,-1,1,State-Sponsored
-1,-1,-1,-1,-1,-1,-1,1,0,1,1,1,-1,0,Benign
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,1,1,1,0,0,0,-1,-1,1,State-Sponsored
1,1,1,1,-1,1,1,-1,0,-1,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,0,1,1,0,1,1,-1,0,Benign
-1,1,-1,-1,1,1,0,1,1,-1,-1,-1,-1,1,State-Sponsored
-1,1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,1,State-Sponsored
-1,0,-1,-1,-1,-1,0,1,1,1,1,1,-1,0,Benign
-1,0,1,-1,1,1,1,-1,0,-1,1,1,-1,1,Organized Cybercrime
1,1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,1,1,1,1,1,0,-1,-1,-1,1,State-Sponsored
-1,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,1,1,0,1,1,-1,-1,0,Benign
1,1,-1,-1,-1,-1,0,1,-1,1,-1,1,1,1,Hacktivist
-1,1,1,1,1,1,1,-1,1,0,0,1,-1,1,Organized Cybercrime
-1,1,1,-1,-1,1,1,-1,-1,-1,0,1,-1,1,Organized Cybercrime
-1,0,-1,1,-1,1,0,0,0,0,-1,-1,-1,1,State-Sponsored
1,1,-1,1,1,-1,0,0,0,-1,0,1,-1,1,Organized Cybercrime
-1,-1,-1,-1,1,1,1,0,-1,-1,-1,-1,-1,1,State-Sponsored
1,1,1,-1,1,-1,1,-1,1,0,1,-1,-1,1,Organized Cybercrime
-1,-1,1,1,1,-1,1,0,0,-1,1,1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,0,0,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,1,-1,0,1,0,0,0,1,-1,1,State-Sponsored
-1,0,-1,-1,-1,-1,0,1,0,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,1,0,1,1,0,-1,-1,-1,1,State-Sponsored
-1,0,-1,1,1,1,0,-1,1,1,-1,1,1,1,Hacktivist
1,1,-1,-1,1,-1,1,-1,1,0,-1,-1,1,1,Hacktivist
1,0,-1,1,-1,1,0,1,0,1,0,-1,-1,1,State-Sponsored
1,-1,-1,-1,-1,1,0,1,1,-1,-1,-1,1,1,Hacktivist
-1,1,1,-1,-1,1,0,-1,-1,1,-1,1,1,1,Hacktivist
-1,1,1,1,-1,-1,0,-1,1,0,0,1,1,1,Hacktivist
-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
1,0,1,-1,-1,-1,1,0,-1,-1,0,1,1,1,Hacktivist
-1,1,1,1,1,-1,-1,1,-1,0,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,-1,1,-1,-1,-1,-1,0,1,1,0,1,1,1,Hacktivist
1,1,-1,1,-1,1,-1,-1,0,-1,-1,1,-1,1,Organized Cybercrime
1,1,1,-1,1,1,1,-1,0,0,0,1,1,1,Hacktivist
-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,0,Benign
-1,1,1,-1,-1,1,1,0,1,1,-1,-1,1,1,Hacktivist
-1,1,-1,-1,-1,1,1,1,-1,-1,1,1,-1,1,State-Sponsored
-1,1,1,-1,-1,-1,1,1,-1,0,0,-1,-1,1,State-Sponsored
-1,-1,1,-1,-1,-1,0,-1,1,0,-1,1,-1,1,Organized Cybercrime
1,1,1,1,1,-1,1,-1,-1,0,-1,1,-1,1,Organized Cybercrime
1,1,-1,1,-1,1,0,-1,-1,0,-1,1,1,1,Hacktivist
-1,1,1,-1,-1,-1,1,-1,-1,-1,0,1,-1,1,Organized Cybercrime
1,1,-1,1,-1,-1,1,-1,0,-1,1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,1,1,-1,0,-1,1,-1,1,State-Sponsored
1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,Hacktivist
1,1,-1,1,-1,-1,0,0,0,1,-1,1,-1,1,Organized Cybercrime
1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,Organized Cybercrime
1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,Organized Cybercrime
-1,0,1,-1,-1,1,1,1,0,0,0,-1,-1,1,State-Sponsored
-1,1,-1,-1,1,-1,1,1,0,0,-1,1,1,1,Hacktivist
1,0,-1,-1,-1,1,1,1,-1,0,0,-1,-1,1,State-Sponsored
-1,-1,-1,-1,-1,1,0,1,0,1,0,-1,-1,1,State-Sponsored
-1,1,1,1,1,-1,0,-1,-1,-1,1,-1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,-1,0,1,1,0,0,-1,-1,0,Benign
-1,1,-1,1,1,-1,0,-1,-1,-1,-1,-1,1,1,Hacktivist
-1,0,-1,-1,-1,1,1,1,0,1,0,-1,-1,1,State-Sponsored
1,-1,1,1,1,1,1,0,0,-1,0,-1,1,1,Hacktivist
-1,1,1,1,-1,1,1,0,-1,0,0,1,-1,1,State-Sponsored
1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,Organized Cybercrime
1,1,-1,1,-1,-1,1,1,-1,0,-1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,-1,1,0,-1,1,-1,1,1,1,Hacktivist
1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,Organized Cybercrime
1,-1,-1,-1,-1,-1,0,1,0,1,1,-1,-1,0,Benign
1,1,-1,-1,-1,-1,0,1,-1,1,1,-1,-1,0,Benign
-1,0,-1,-1,1,-1,-1,1,0,1,1,-1,-1,0,Benign
1,1,-1,-1,-1,-1,0,-1,-1,0,0,1,1,1,Hacktivist
1,1,1,-1,-1,-1,1,1,1,0,-1,-1,1,1,Hacktivist
1,1,-1,-1,-1,1,1,-1,1,1,0,1,1,1,Hacktivist
1,0,-1,1,-1,1,0,1,1,0,0,1,-1,1,State-Sponsored
-1,0,-1,-1,-1,-1,0,1,0,1,1,-1,-1,0,Benign
-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,Hacktivist
1,0,-1,-1,-1,1,0,1,0,0,0,1,-1,1,State-Sponsored
-1,0,-1,1,-1,1,1,1,1,0,0,-1,-1,1,State-Sponsored
1,1,-1,-1,-1,1,1,-1,0,0,1,1,1,1,Hacktivist
-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,-1,0,Benign
-1,1,1,1,1,1,-1,0,-1,1,-1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,State-Sponsored
-1,0,-1,-1,1,1,1,0,1,1,1,-1,-1,0,Benign
1,0,1,-1,1,-1,1,-1,0,-1,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,-1,1,1,0,1,-1,-1,0,Benign
-1,1,1,1,-1,1,0,-1,0,1,0,1,1,1,Hacktivist
-1,1,-1,-1,-1,1,0,1,0,-1,1,1,-1,1,State-Sponsored
-1,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,1,1,-1,-1,-1,1,-1,0,1,-1,1,-1,1,Organized Cybercrime
1,0,1,-1,1,-1,1,1,0,-1,-1,1,-1,1,Organized Cybercrime
-1,-1,-1,-1,-1,1,0,1,1,1,-1,-1,-1,0,Benign
1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,-1,1,State-Sponsored
-1,-1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,1,State-Sponsored
1,1,1,1,1,-1,0,-1,1,0,1,1,-1,1,Organized Cybercrime
1,0,-1,-1,1,1,1,1,0,0,0,-1,-1,1,State-Sponsored
-1,0,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,State-Sponsored
-1,1,1,-1,1,1,-1,-1,0,0,-1,-1,-1,1,Organized Cybercrime
1,1,1,1,-1,1,1,-1,0,1,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,1,1,1,-1,0,0,-1,-1,1,State-Sponsored
-1,0,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,0,Benign
-1,0,-1,-1,-1,1,1,1,1,0,0,-1,-1,1,State-Sponsored
-1,-1,1,-1,1,1,0,1,1,0,-1,1,1,1,Hacktivist
-1,1,1,1,1,1,-1,1,-1,0,-1,1,1,1,Hacktivist
-1,0,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,1,State-Sponsored
-1,-1,1,-1,1,1,1,1,1,1,0,1,-1,1,State-Sponsored
-1,0,1,-1,-1,-1,1,1,1,1,0,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,-1,1,0,-1,1,-1,-1,0,Benign
1,-1,1,1,-1,1,-1,0,-1,-1,0,-1,1,1,Hacktivist
-1,1,-1,-1,1,-1,1,1,0,0,-1,1,1,1,Hacktivist
-1,0,1,-1,-1,-1,0,0,1,1,1,-1,-1,0,Benign
1,0,1,-1,1,1,1,-1,-1,0,1,-1,-1,1,Organized Cybercrime
-1,0,-1,1,-1,1,0,-1,0,1,-1,-1,-1,1,State-Sponsored
-1,0,-1,-1,-1,1,-1,-1,-1,-1,1,1,1,1,Hacktivist
-1,0,-1,-1,-1,1,1,1,0,1,1,-1,-1,1,State-Sponsored
-1,1,-1,1,1,1,0,1,-1,0,0,-1,-1,1,State-Sponsored
-1,0,-1,1,-1,1,-1,-1,0,-1,1,1,1,1,Hacktivist
1,1,1,-1,-1,1,1,-1,-1,0,-1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,1,0,1,0,-1,-1,1,-1,1,State-Sponsored
1,0,1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,Hacktivist
-1,0,-1,1,1,1,-1,-1,-1,0,-1,1,1,1,Hacktivist
-1,1,-1,-1,-1,1,0,-1,1,0,-1,1,-1,1,State-Sponsored
1,1,1,-1,-1,1,1,0,-1,-1,1,1,-1,1,Organized Cybercrime
-1,0,1,-1,-1,-1,1,-1,0,1,1,-1,-1,1,Organized Cybercrime
-1,-1,-1,-1,-1,1,0,1,0,0,1,-1,-1,0,Benign
-1,0,-1,-1,1,1,0,0,0,-1,0,1,1,1,Hacktivist
1,1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,1,Organized Cybercrime
-1,1,1,-1,1,1,1,-1,0,1,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,Hacktivist
-1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,-1,1,Organized Cybercrime
-1,0,1,-1,-1,1,1,1,0,0,-1,-1,-1,1,State-Sponsored
-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,1,1,-1,0,1,1,-1,1,State-Sponsored
-1,1,-1,-1,-1,-1,1,1,0,0,-1,1,-1,1,State-Sponsored
1,1,1,-1,-1,-1,1,0,-1,0,0,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,1,1,1,0,0,-1,1,-1,1,State-Sponsored
1,1,1,-1,1,-1,1,-1,-1,0,0,-1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,1,0,1,-1,1,-1,-1,0,Benign
-1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,Hacktivist
1,1,1,-1,1,-1,0,1,-1,0,1,1,1,1,Hacktivist
-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,Hacktivist
-1,0,-1,1,-1,-1,-1,1,0,0,1,-1,-1,0,Benign
1,1,1,-1,1,1,1,-1,-1,0,-1,-1,1,1,Hacktivist
-1,0,1,1,-1,1,0,-1,1,-1,-1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,0,Benign
-1,0,1,-1,-1,-1,0,1,1,1,1,1,-1,0,Benign
-1,0,1,1,-1,1,1,1,-1,1,0,-1,-1,1,State-Sponsored
-1,1,1,1,-1,-1,0,-1,1,0,-1,1,-1,1,Organized Cybercrime
-1,-1,1,1,-1,-1,1,0,-1,-1,0,1,1,1,Hacktivist
1,-1,1,1,1,1,1,-1,1,-1,1,1,-1,1,Organized Cybercrime
-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,0,Benign
-1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,Hacktivist
-1,0,-1,-1,-1,1,-1,1,0,1,1,-1,-1,0,Benign
-1,1,1,1,-1,1,1,1,-1,1,0,1,-1,1,State-Sponsored
-1,0,1,-1,-1,1,-1,1,1,0,-1,-1,-1,1,State-Sponsored
1,0,-1,1,1,-1,0,-1,1,0,-1,-1,1,1,Hacktivist
-1,1,-1,-1,-1,-1,-1,0,1,1,0,-1,-1,0,Benign
1,1,-1,1,1,-1,0,1,-1,-1,0,1,-1,1,Organized Cybercrime
1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,-1,1,Organized Cybercrime
1,-1,1,1,-1,1,0,0,1,1,-1,1,-1,1,Organized Cybercrime
1,0,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1,Organized Cybercrime
1,0,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,1,Organized Cybercrime
-1,1,1,1,1,1,1,1,-1,0,-1,1,-1,1,Organized Cybercrime
1,1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,-1,1,1,1,0,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,0,Benign
-1,0,-1,-1,-1,1,0,1,0,1,-1,1,-1,1,State-Sponsored
-1,1,-1,1,1,1,1,-1,-1,1,-1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,-1,0,1,0,0,1,-1,-1,1,State-Sponsored
1,1,1,-1,-1,1,1,0,-1,1,0,1,1,1,Hacktivist
-1,0,-1,-1,-1,1,1,1,0,0,0,-1,-1,1,State-Sponsored
-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,1,1,-1,0,1,-1,-1,1,State-Sponsored
1,1,-1,1,-1,1,0,0,0,-1,0,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,0,1,1,1,0,-1,-1,0,Benign
1,1,1,-1,-1,-1,1,1,-1,1,0,-1,-1,1,State-Sponsored
-1,-1,1,-1,1,-1,0,1,-1,-1,0,-1,1,1,Hacktivist
-1,0,1,1,1,-1,1,-1,-1,1,0,-1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,-1,1,1,0,1,-1,-1,0,Benign
1,1,-1,-1,-1,1,-1,1,-1,0,-1,1,1,1,Hacktivist
-1,1,1,1,1,1,1,0,-1,0,1,1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,1,1,0,1,0,-1,-1,1,State-Sponsored
-1,1,1,1,-1,-1,1,0,-1,-1,-1,-1,1,1,Hacktivist
-1,1,-1,-1,-1,1,1,1,0,1,-1,-1,-1,1,State-Sponsored
-1,0,1,-1,-1,-1,-1,-1,1,1,0,-1,1,1,Hacktivist
-1,-1,1,-1,1,-1,1,-1,0,-1,-1,1,-1,1,Organized Cybercrime
-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,1,0,1,1,1,-1,-1,0,Benign
1,-1,-1,-1,-1,1,0,1,1,-1,0,-1,-1,1,State-Sponsored
1,1,-1,1,-1,1,-1,1,-1,0,-1,-1,1,1,Hacktivist
-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,Organized Cybercrime
1,1,-1,-1,-1,1,-1,0,1,0,1,-1,1,1,Hacktivist
1,1,1,-1,-1,1,1,-1,-1,-1,0,1,-1,1,Organized Cybercrime
-1,-1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,0,Benign
1,-1,-1,1,-1,-1,1,-1,0,0,1,1,1,1,Hacktivist
-1,0,1,1,-1,-1,1,1,0,1,-1,1,1,1,Hacktivist
1,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,1,Organized Cybercrime
-1,0,-1,1,1,1,0,1,-1,1,-1,-1,-1,1,State-Sponsored
-1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,-1,0,0,1,1,-1,-1,0,Benign
1,-1,1,1,1,-1,0,-1,1,0,0,1,1,1,Hacktivist
1,1,-1,-1,1,1,1,-1,-1,-1,0,-1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,1,0,0,-1,0,0,-1,-1,1,State-Sponsored
-1,0,-1,1,-1,1,1,1,1,0,-1,-1,-1,1,State-Sponsored
-1,1,-1,-1,-1,1,0,-1,1,0,-1,-1,-1,1,State-Sponsored
-1,1,1,-1,1,1,1,-1,-1,-1,-1,1,-1,1,Organized Cybercrime
-1,-1,-1,-1,-1,-1,0,0,1,0,-1,-1,-1,0,Benign
-1,1,-1,-1,-1,1,0,0,0,-1,0,1,-1,1,State-Sponsored
-1,0,-1,-1,-1,-1,1,1,0,1,0,-1,-1,1,State-Sponsored
1,-1,1,-1,-1,1,0,1,-1,1,1,1,1,1,Hacktivist
1,-1,1,-1,-1,1,0,0,-1,-1,-1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,-1,-1,1,0,1,1,-1,-1,1,State-Sponsored
1,1,1,-1,1,-1,1,0,-1,1,-1,1,-1,1,Organized Cybercrime
1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,Organized Cybercrime
1,1,1,1,-1,-1,1,-1,0,1,-1,1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
1,0,-1,-1,1,-1,1,-1,-1,-1,1,1,-1,1,Organized Cybercrime
-1,1,-1,-1,-1,1,1,0,1,1,0,-1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,-1,1,0,0,1,-1,-1,0,Benign
1,1,1,-1,1,1,1,-1,-1,-1,0,1,-1,1,Organized Cybercrime
-1,1,-1,-1,1,1,1,1,1,1,0,-1,-1,1,State-Sponsored
-1,1,1,1,-1,1,0,-1,-1,-1,0,1,-1,1,Organized Cybercrime
1,1,1,1,-1,1,1,-1,1,-1,0,1,1,1,Hacktivist
-1,0,-1,-1,-1,1,0,0,-1,-1,-1,-1,1,1,Hacktivist
1,0,1,1,-1,-1,1,0,1,-1,1,-1,1,1,Hacktivist
-1,1,-1,-1,-1,1,0,1,1,1,-1,-1,-1,1,State-Sponsored
-1,1,-1,-1,-1,-1,1,1,0,1,0,1,-1,1,State-Sponsored
-1,0,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,Hacktivist
-1,0,-1,1,-1,-1,-1,1,1,0,-1,-1,-1,0,Benign
-1,-1,1,-1,-1,1,-1,1,1,1,1,-1,-1,0,Benign
-1,1,-1,-1,1,1,1,1,-1,1,0,-1,-1,1,State-Sponsored
-1,0,-1,-1,-1,1,0,1,1,0,-1,-1,-1,1,State-Sponsored
-1,0,-1,-1,-1,-1,-1,1,1,0,0,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,1,1,1,1,0,1,-1,-1,-1,1,State-Sponsored
-1,0,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,1,-1,0,0,1,0,-1,1,1,1,Hacktivist
1,1,1,1,-1,-1,-1,-1,-1,0,-1,-1,1,1,Hacktivist
-1,1,-1,1,-1,-1,-1,-1,0,-1,-1,1,1,1,Hacktivist
1,1,-1,-1,1,1,1,0,1,0,0,-1,1,1,Hacktivist
1,1,-1,-1,-1,-1,1,1,1,1,0,1,-1,1,Organized Cybercrime
-1,0,-1,1,-1,1,1,1,0,0,-1,1,-1,1,State-Sponsored
1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,Hacktivist
1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,1,1,0,0,1,-1,1,-1,-1,1,State-Sponsored
1,1,1,1,-1,1,1,-1,1,-1,0,1,-1,1,Organized Cybercrime
1,0,-1,-1,-1,1,-1,1,0,-1,0,-1,-1,1,State-Sponsored
1,1,-1,1,1,1,1,-1,-1,-1,-1,1,-1,1,Organized Cybercrime
1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,Organized Cybercrime
-1,-1,-1,-1,-1,-1,0,0,1,1,1,1,-1,0,Benign
1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
-1,1,1,1,-1,1,0,-1,1,1,0,1,1,1,Hacktivist
-1,0,1,1,1,1,1,-1,0,-1,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,0,Benign
-1,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,0,Benign
-1,0,-1,-1,-1,-1,0,1,1,-1,1,-1,-1,0,Benign
-1,0,-1,-1,1,1,1,1,0,-1,-1,-1,-1,1,State-Sponsored
1,1,-1,-1,1,1,1,0,-1,0,-1,1,1,1,Hacktivist
1,1,1,1,1,-1,0,-1,-1,0,1,-1,-1,1,Organized Cybercrime
1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,Hacktivist
1,0,1,-1,1,1,1,1,-1,-1,0,1,-1,1,Organized Cybercrime
1,1,1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,Organized Cybercrime
1,1,1,-1,1,-1,1,-1,-1,0,-1,1,-1,1,Organized Cybercrime
-1,0,-1,-1,-1,-1,-1,0,1,0,1,-1,-1,0,Benign
-1,0,-1,1,1,1,1,0,1,-1,0,1,1,1,Hacktivist
-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,0,Benign
1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,1,1,Hacktivist
-1,1,-1,-1,1,-1,0,1,0,0,-1,-1,-1,1,State-Sponsored
-1,0,1,1,-1,-1,0,1,-1,1,-1,-1,1,1,Hacktivist
-1,1,1,-1,-1,1,1,1,0,1,-1,-1,-1,1,State-Sponsored
-1,1,-1,-1,-1,1,1,-1,0,0,-1,1,1,1,Hacktivist
-1,0,1,-1,-1,-1,-1,1,-1,0,1,-1,-1,0,Benign
-1,1,-1,-1,-1,-1,1,1,-1,1,0,-1,-1,1,State-Sponsored
-1,-1,1,1,1,1,0,-1,-1,0,0,1,1,1,Hacktivist
-1,-1,1,-1,-1,-1,1,1,0,-1,-1,1,1,1,Hacktivist
-1,0,-1,-1,-1,-1,-1,1,0,1,-1,-1,-1,0,Benign
1,0,1,-1,-1,1,0,-1,-1,0,-1,1,-1,1,Organized Cybercrime
1,-1,1,1,1,-1,0,1,0,0,1,1,1,1,Hacktivist
-1,-1,-1,-1,1,1,1,0,1,1,1,-1,1,1,Hacktivist
-1,1,-1,1,1,-1,0,-1,1,0,-1,1,1,1,Hacktivist
-1,0,1,1,-1,-1,0,1,1,0,1,1,1,1,Hacktivist
-1,1,-1,1,-1,-1,1,1,-1,0,0,-1,-1,1,State-Sponsored
1,1,-1,-1,1,1,1,1,0,-1,-1,1,1,1,Hacktivist
